"Name","State","Min_Value","Max_Value","Temp_change","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean","rank_temp"
"Autauga County","Alabama","69.6","94","24.4","82","0.7","68.9",2159
"Baldwin County","Alabama","74.7","93.8","19.1","129","3.4","71.3",247
"Barbour County","Alabama","70.4","94.2","23.8","111","1.2","69.2",1967
"Bibb County","Alabama","68.4","92.7","24.3","60","0.4","68",2131
"Blount County","Alabama","67.5","90.4","22.9","91","1.5","66",1659
"Bullock County","Alabama","69.6","93.7","24.1","100","1.1","68.5",2076
"Butler County","Alabama","69.2","94.3","25.1","86","0.6","68.6",2345
"Calhoun County","Alabama","66.6","91.1","24.5","64","0.4","66.2",2189
"Chambers County","Alabama","66","91.6","25.6","49","-0.1","66.1",2429
"Cherokee County","Alabama","65.5","90.3","24.8","33","-0.8","66.3",2278
"Chilton County","Alabama","68","92.5","24.5","71","0.5","67.5",2189
"Choctaw County","Alabama","70","94.7","24.7","85","0.8","69.2",2239
"Clarke County","Alabama","70.6","94.7","24.1","104","1.5","69.1",2076
"Clay County","Alabama","65.3","90.4","25.1","66","0.4","64.9",2345
"Cleburne County","Alabama","65","89.6","24.6","61","0.2","64.8",2219
"Coffee County","Alabama","70.5","94.7","24.2","107","1.2","69.3",2101
"Colbert County","Alabama","65.9","93","27.1","61","0.2","65.7",2616
"Conecuh County","Alabama","70.2","94.4","24.2","89","0.9","69.3",2101
"Coosa County","Alabama","67.1","91.7","24.6","64","0.4","66.7",2219
"Covington County","Alabama","70.6","94.7","24.1","111","1.5","69.1",2076
"Crenshaw County","Alabama","68.9","94.3","25.4","94","0.7","68.2",2398
"Cullman County","Alabama","67.8","90.2","22.4","111","2.2","65.6",1468
"Dale County","Alabama","71","94.5","23.5","103","1","70",1879
"Dallas County","Alabama","71","94.8","23.8","114","1.6","69.4",1967
"DeKalb County","Alabama","64.5","87.5","23.0","36","-0.8","65.3",1707
"Elmore County","Alabama","69","93","24","76","0.5","68.5",2036
"Escambia County","Alabama","71.4","93.9","22.5","111","1.8","69.6",1520
"Etowah County","Alabama","67.2","90.9","23.7","69","0.6","66.6",1935
"Fayette County","Alabama","67","93","26","34","-0.8","67.8",2492
"Franklin County","Alabama","65.9","91.7","25.8","57","0.1","65.8",2464
"Geneva County","Alabama","71.5","94.5","23.0","113","1.7","69.8",1707
"Greene County","Alabama","70.2","93.5","23.3","62","0.4","69.8",1807
"Hale County","Alabama","70.1","93.3","23.2","75","0.7","69.4",1772
"Henry County","Alabama","71.4","94.2","22.8","110","1.3","70.1",1636
"Houston County","Alabama","71.8","94.1","22.3","106","1.2","70.6",1423
