"taxon","dlc_id","hybrid","sex","name","current_resident","stud_book","dob","birth_month","estimated_dob","birth_type","birth_institution","litter_size","expected_gestation","estimated_concep","concep_month","dam_id","dam_name","dam_taxon","dam_dob","dam_age_at_concep_y","sire_id","sire_name","sire_taxon","sire_dob","sire_age_at_concep_y","dod","age_at_death_y","age_of_living_y","age_last_verified_y","age_max_live_or_dead_y","n_known_offspring","dob_estimated","weight_g","weight_date","month_of_weight","age_at_wt_d","age_at_wt_wk","age_at_wt_mo","age_at_wt_mo_no_dec","age_at_wt_y","change_since_prev_wt_g","days_since_prev_wt","avg_daily_wt_change_g","days_before_death","r_min_dam_age_at_concep_y","age_category","preg_status","expected_gestation_d","concep_date_if_preg","infant_dob_if_preg","days_before_inf_birth_if_preg","pct_preg_remain_if_preg","infant_lit_sz_if_preg","weight_g_last","age_at_wt_mo_last"
"VRUB","3569","N","M","JUPITER","N","29",1978-04-21,4,NA,"CB","Duke Lemur Center",3,103,1978-01-08,1,"524","SATURNA","VRUB",1959-10-01,18.28,"3530","TELLUS","VRUB",1975-05-17,2.65,1996-10-06,18.47,NA,NA,18.47,6,NA,98,1978-04-21,4,0,0,0,0,0,NA,NA,NA,6743,1.65,"IJ","NP",NA,NA,NA,NA,NA,NA,3430,173.39
"VRUB","3570","N","F","TERRA","N","31",1978-04-21,4,NA,"CB","Duke Lemur Center",3,103,1978-01-08,1,"524","SATURNA","VRUB",1959-10-01,18.28,"3530","TELLUS","VRUB",1975-05-17,2.65,1994-01-19,15.76,NA,NA,15.76,NA,NA,67,1978-04-22,4,1,0.14,0.03,0,0,NA,NA,NA,5751,1.65,"IJ","NP",NA,NA,NA,NA,NA,NA,2885,8.28
"VRUB","3571","N","M","HADES","N","30",1978-04-21,4,NA,"CB","Duke Lemur Center",3,103,1978-01-08,1,"524","SATURNA","VRUB",1959-10-01,18.28,"3530","TELLUS","VRUB",1975-05-17,2.65,1988-09-27,10.44,NA,NA,10.44,3,NA,87,1978-04-22,4,1,0.14,0.03,0,0,NA,NA,NA,3811,1.65,"IJ","NP",NA,NA,NA,NA,NA,NA,2875,8.28
"VRUB","4575","N","F","VENUS II","N","42",1979-05-01,5,NA,"CB","Duke Lemur Center",1,103,1979-01-18,1,"524","SATURNA","VRUB",1959-10-01,19.31,"3530","TELLUS","VRUB",1975-05-17,3.68,2000-11-26,21.59,NA,NA,21.59,13,NA,122,1979-05-02,5,1,0.14,0.03,0,0,NA,NA,NA,7879,1.65,"IJ","NP",NA,NA,NA,NA,NA,NA,4240,103.23
"VRUB","5538","N","M","NEPTUNE","N","43",1980-05-04,5,NA,"CB","Duke Lemur Center",2,103,1980-01-22,1,"524","SATURNA","VRUB",1959-10-01,20.32,"3530","TELLUS","VRUB",1975-05-17,4.69,2003-08-25,23.32,NA,NA,23.32,NA,NA,100,1980-05-04,5,0,0,0,0,0,NA,NA,NA,8513,1.65,"IJ","NP",NA,NA,NA,NA,NA,NA,3385,20.52
"VRUB","5539","N","F","DIANA","N","44",1980-05-04,5,NA,"CB","Duke Lemur Center",2,103,1980-01-22,1,"524","SATURNA","VRUB",1959-10-01,20.32,"3530","TELLUS","VRUB",1975-05-17,4.69,2005-02-17,24.81,NA,NA,24.81,6,NA,87,1980-05-04,5,0,0,0,0,0,NA,NA,NA,9055,1.65,"IJ","NP",NA,NA,NA,NA,NA,NA,3169,90.28
"VRUB","5587","N","F","CYNTHIA","N","57",1981-03-30,3,NA,"CB","Duke Lemur Center",2,103,1980-12-17,12,"524","SATURNA","VRUB",1959-10-01,21.23,"4590","SATURN","VRUB",1960-10-01,20.22,2016-04-28,35.1,NA,NA,35.1,17,NA,90,1981-04-03,4,4,0.57,0.13,0,0.01,NA,NA,NA,12809,1.65,"IJ","NP",NA,NA,NA,NA,NA,NA,3040,297.47
"VRUB","5629","N","M","PHOENIX","N","61",1981-05-19,5,NA,"CB","Duke Lemur Center",3,103,1981-02-05,2,"544","PERSEPHONE","VRUB",1968-04-28,12.78,"3530","TELLUS","VRUB",1975-05-17,5.73,2003-05-14,22,NA,NA,22,15,NA,804,1981-07-08,7,50,7.14,1.64,1,0.14,NA,NA,NA,7980,1.65,"IJ","NP",NA,NA,NA,NA,NA,NA,3800,198.58
"VRUB","5630","N","F","HIMALIA","N","62",1981-05-19,5,NA,"CB","Duke Lemur Center",3,103,1981-02-05,2,"544","PERSEPHONE","VRUB",1968-04-28,12.78,"3530","TELLUS","VRUB",1975-05-17,5.73,1992-04-29,10.95,NA,NA,10.95,20,NA,749,1981-07-08,7,50,7.14,1.64,1,0.14,NA,NA,NA,3948,1.65,"IJ","NP",NA,NA,NA,NA,NA,NA,4310,128.91
"VRUB","5631","N","F","LYSITHEA","N","63",1981-05-19,5,NA,"CB","Duke Lemur Center",3,103,1981-02-05,2,"544","PERSEPHONE","VRUB",1968-04-28,12.78,"3530","TELLUS","VRUB",1975-05-17,5.73,1982-10-11,1.4,NA,NA,1.4,NA,NA,704,1981-07-08,7,50,7.14,1.64,1,0.14,NA,NA,NA,460,1.65,"IJ","NP",NA,NA,NA,NA,NA,NA,2733,10.52
"VRUB","5689","N","M","VENERIUS","N","72",1982-05-02,5,NA,"CB","Duke Lemur Center",3,103,1982-01-19,1,"4575","VENUS II","VRUB",1979-05-01,2.72,"5560","PLUTO III","VRUB",1977-05-28,4.65,1996-03-07,13.86,NA,NA,13.86,NA,NA,2847,1983-08-30,8,485,69.29,15.95,15,1.33,NA,NA,NA,4573,1.65,"IJ","NP",NA,NA,NA,NA,NA,NA,3123,16.37
"VRUB","5691","N","F","VENUTIA","N","74",1982-05-02,5,NA,"CB","Duke Lemur Center",3,103,1982-01-19,1,"4575","VENUS II","VRUB",1979-05-01,2.72,"5560","PLUTO III","VRUB",1977-05-28,4.65,2003-10-18,21.48,NA,NA,21.48,NA,NA,2261,1983-09-15,9,501,71.57,16.47,16,1.37,NA,NA,NA,7338,1.65,"IJ","NP",NA,NA,NA,NA,NA,NA,2791,17.06
"VRUB","5697","N","M","PERSEPHONE-A","N","79",1982-05-08,5,NA,"CB","Duke Lemur Center",3,103,1982-01-25,1,"544","PERSEPHONE","VRUB",1968-04-28,13.75,"5560","PLUTO III","VRUB",1977-05-28,4.67,1982-05-09,0,NA,NA,0,NA,NA,94,1982-05-08,5,0,0,0,0,0,NA,NA,NA,1,1.65,"IJ","NP",NA,NA,NA,NA,NA,NA,94,0
"VRUB","5698","N","M","HERMES","N","80",1982-05-08,5,NA,"CB","Duke Lemur Center",3,103,1982-01-25,1,"544","PERSEPHONE","VRUB",1968-04-28,13.75,"5560","PLUTO III","VRUB",1977-05-28,4.67,2001-05-01,18.99,NA,NA,18.99,10,NA,122,1982-05-08,5,0,0,0,0,0,NA,NA,NA,6933,1.65,"IJ","NP",NA,NA,NA,NA,NA,NA,4310,119.54
"VRUB","5699","N","F","PLUTONIA","N","81",1982-05-08,5,NA,"CB","Duke Lemur Center",3,103,1982-01-25,1,"544","PERSEPHONE","VRUB",1968-04-28,13.75,"5560","PLUTO III","VRUB",1977-05-28,4.67,1988-02-05,5.75,NA,NA,5.75,3,NA,94.5,1982-05-08,5,0,0,0,0,0,NA,NA,NA,2099,1.65,"IJ","NP",NA,NA,NA,NA,NA,NA,3396,67.33
