# Title: August 2025 Contiguous U.S. County Precipitation
# Units: Inches
# Note: Period of Record: 131 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,Alabama,4.03,75,-0.09,4.12
AL-003,Baldwin County,Alabama,8,101,1.82,6.18
AL-005,Barbour County,Alabama,5.26,88,0.71,4.55
AL-007,Bibb County,Alabama,3.21,49,-0.92,4.13
AL-009,Blount County,Alabama,2.68,33,-1.51,4.19
AL-011,Bullock County,Alabama,4.65,79,0.5,4.15
AL-013,Butler County,Alabama,2.84,29,-1.72,4.56
AL-015,Calhoun County,Alabama,6.13,110,2.02,4.11
AL-017,Chambers County,Alabama,3.67,56,-0.49,4.16
AL-019,Cherokee County,Alabama,3.7,65,-0.3,4
AL-021,Chilton County,Alabama,4.64,87,0.42,4.22
AL-023,Choctaw County,Alabama,2.79,28,-1.47,4.26
AL-025,Clarke County,Alabama,4.51,60,-0.45,4.96
AL-027,Clay County,Alabama,5.47,103,1.36,4.11
AL-029,Cleburne County,Alabama,5.8,105,1.8,4
AL-031,Coffee County,Alabama,5.65,81,0.58,5.07
AL-033,Colbert County,Alabama,3.3,55,-0.39,3.69
AL-035,Conecuh County,Alabama,3.26,27,-1.8,5.06
AL-037,Coosa County,Alabama,3.97,70,-0.18,4.15
AL-039,Covington County,Alabama,4.65,48,-0.7,5.35
AL-041,Crenshaw County,Alabama,4.19,58,-0.33,4.52
AL-043,Cullman County,Alabama,2.22,18,-1.74,3.96
AL-045,Dale County,Alabama,5.56,79,0.44,5.12
AL-047,Dallas County,Alabama,1.8,11,-2.14,3.94
AL-049,DeKalb County,Alabama,2.7,24,-1.41,4.11
AL-051,Elmore County,Alabama,3.9,69,-0.24,4.14
AL-053,Escambia County,Alabama,5.5,68,-0.14,5.64
AL-055,Etowah County,Alabama,3.4,58,-0.73,4.13
AL-057,Fayette County,Alabama,2.63,39,-1.21,3.84
AL-059,Franklin County,Alabama,3.7,62,-0.05,3.75
AL-061,Geneva County,Alabama,5.94,82,0.37,5.57
AL-063,Greene County,Alabama,1.32,6,-2.36,3.68
AL-065,Hale County,Alabama,1.52,12,-2.38,3.9
AL-067,Henry County,Alabama,5.49,83,0.59,4.9
AL-069,Houston County,Alabama,5.37,79,0.1,5.27
AL-071,Jackson County,Alabama,3.78,68,-0.08,3.86
AL-073,Jefferson County,Alabama,2.82,30,-1.39,4.21
AL-075,Lamar County,Alabama,2.26,25,-1.51,3.77
AL-077,Lauderdale County,Alabama,2.58,34,-1.13,3.71
AL-079,Lawrence County,Alabama,1.96,17,-1.65,3.61
AL-081,Lee County,Alabama,3.72,58,-0.26,3.98
AL-083,Limestone County,Alabama,1.48,13,-2.11,3.59
AL-085,Lowndes County,Alabama,2.83,36,-1.21,4.04
AL-087,Macon County,Alabama,4.05,72,0.1,3.95
AL-089,Madison County,Alabama,2.01,18,-1.71,3.72
AL-091,Marengo County,Alabama,1.53,5,-2.52,4.05
AL-093,Marion County,Alabama,3.01,45,-0.79,3.8
AL-095,Marshall County,Alabama,3,50,-0.94,3.94
AL-097,Mobile County,Alabama,6.22,72,0.36,5.86
AL-099,Monroe County,Alabama,3.85,44,-1.08,4.93
AL-101,Montgomery County,Alabama,3.85,70,-0.25,4.1
AL-103,Morgan County,Alabama,1.45,8,-2.21,3.66
AL-105,Perry County,Alabama,1.86,13,-2.12,3.98
AL-107,Pickens County,Alabama,1.26,7,-2.46,3.72
AL-109,Pike County,Alabama,5.08,81,0.58,4.5
AL-111,Randolph County,Alabama,5.12,94,0.96,4.16
AL-113,Russell County,Alabama,4.15,72,0.1,4.05
AL-115,St. Clair County,Alabama,3.78,64,-0.34,4.12
AL-117,Shelby County,Alabama,3.98,65,-0.33,4.31
AL-119,Sumter County,Alabama,1.39,5,-2.42,3.81
AL-121,Talladega County,Alabama,4.89,97,0.83,4.06
AL-123,Tallapoosa County,Alabama,3.72,64,-0.45,4.17
AL-125,Tuscaloosa County,Alabama,1.84,12,-2.14,3.98
AL-127,Walker County,Alabama,2.37,27,-1.69,4.06
AL-129,Washington County,Alabama,5.29,72,0.3,4.99
AL-131,Wilcox County,Alabama,2.04,10,-2.24,4.28
AL-133,Winston County,Alabama,1.83,11,-2.06,3.89
AZ-001,Apache County,Arizona,0.93,8,-1.24,2.17
AZ-003,Cochise County,Arizona,1.28,8,-1.92,3.2
AZ-005,Coconino County,Arizona,1.04,17,-0.99,2.03
AZ-007,Gila County,Arizona,1.58,17,-1.54,3.12
AZ-009,Graham County,Arizona,0.88,4,-1.8,2.68
AZ-011,Greenlee County,Arizona,1.72,17,-1.25,2.97
AZ-012,La Paz County,Arizona,0.78,65,-0.29,1.07
AZ-013,Maricopa County,Arizona,1.28,73,-0.19,1.47
AZ-015,Mohave County,Arizona,0.72,24,-0.81,1.53
AZ-017,Navajo County,Arizona,1.17,23,-0.85,2.02
AZ-019,Pima County,Arizona,1.53,21,-1.02,2.55
AZ-021,Pinal County,Arizona,1.08,20,-0.98,2.06
AZ-023,Santa Cruz County,Arizona,1.65,5,-2.45,4.1
AZ-025,Yavapai County,Arizona,1.76,34,-0.83,2.59
AZ-027,Yuma County,Arizona,2.13,123,1.29,0.84
AR-001,Arkansas County,Arkansas,1.75,29,-1.44,3.19
AR-003,Ashley County,Arkansas,3.33,79,0.08,3.25
AR-005,Baxter County,Arkansas,1.16,12,-2.12,3.28
AR-007,Benton County,Arkansas,3.93,79,0.23,3.7
AR-009,Boone County,Arkansas,2.62,49,-0.81,3.43
AR-011,Bradley County,Arkansas,2.87,65,-0.27,3.14
AR-013,Calhoun County,Arkansas,2.44,55,-0.7,3.14
AR-015,Carroll County,Arkansas,2.99,59,-0.63,3.62
AR-017,Chicot County,Arkansas,3.11,76,-0.13,3.24
AR-019,Clark County,Arkansas,3.89,91,0.68,3.21
AR-021,Clay County,Arkansas,0.67,3,-2.97,3.64
AR-023,Cleburne County,Arkansas,2.33,38,-1.33,3.66
AR-025,Cleveland County,Arkansas,2.16,42,-0.96,3.12
AR-027,Columbia County,Arkansas,3,76,-0.16,3.16
AR-029,Conway County,Arkansas,5.97,113,2.6,3.37
AR-031,Craighead County,Arkansas,1.4,19,-1.97,3.37
AR-033,Crawford County,Arkansas,4.2,89,0.75,3.45
AR-035,Crittenden County,Arkansas,1.14,13,-2.22,3.36
AR-037,Cross County,Arkansas,2.75,54,-0.84,3.59
